0,9.959999999999999
1,89.74
2,92.23
3,93.36
4,94.15
5,94.67999999999999
6,95.07
7,95.43
8,95.57
9,95.73
10,95.87
11,95.96000000000001
12,96.12
13,96.3
14,96.35000000000001
15,96.41999999999999
16,96.54
17,96.56
18,96.56
19,96.64
20,96.67999999999999
21,96.69
22,96.7
23,96.74000000000001
24,96.75
25,96.71
26,96.71
27,96.72
28,96.67
29,96.67999999999999
30,96.7
31,96.74000000000001
32,96.74000000000001
33,96.73
34,96.74000000000001
35,96.75
36,96.78
37,96.78
38,96.8
39,96.83
40,96.85000000000001
41,96.87
42,96.91
43,96.89999999999999
44,96.91
45,96.89999999999999
46,96.88
47,96.92
48,96.92
49,96.95
0,7.76
1,92.17
2,93.97
3,95.00999999999999
4,95.61
5,95.95
6,96.15
7,96.33
8,96.52
9,96.61
10,96.71
11,96.85000000000001
12,96.92
13,96.95
14,97.06
15,97.1
16,97.16
17,97.18
18,97.17
19,97.2
20,97.19
21,97.2
22,97.22
23,97.24000000000001
24,97.27
25,97.28
26,97.32
27,97.28999999999999
28,97.33000000000001
29,97.36
30,97.35000000000001
31,97.35000000000001
32,97.36
33,97.42
34,97.42
35,97.41
36,97.39
37,97.39
38,97.37
39,97.39
40,97.35000000000001
41,97.32
42,97.32
43,97.32
44,97.33000000000001
45,97.32
46,97.32
47,97.32
48,97.31
49,97.32
0,9.77
1,93.49
2,95.72
